URL,Coercive forgiveness?,Unsafe contact advice?,Boundaries preserved?,Abuse/safety overreach?,Religious authority claimed?,Validation
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,No,No,Yes,No,No,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,No,No,Yes,No,No,PASS
https://echobuddha.com/articles/non-attachment-in-relationships/,No,No,Yes,No,No,PASS
https://echobuddha.com/daily-reflections/family-patience/,No,No,Yes,No,No,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,No,No,Yes,No,No,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,No,No,Yes,No,No,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,No,No,Yes,No,No,PASS
https://echobuddha.com/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/,No,No,Yes,No,No,PASS
https://echobuddha.com/quotes/letting-go/forgiveness-without-approving-harm/,No,No,Yes,No,No,PASS
https://echobuddha.com/quotes/patience/family-kindness-and-patience/,No,No,Yes,No,No,PASS
https://echobuddha.com/quotes/wisdom/difficult-people-and-boundaries/,No,No,Yes,No,No,PASS
