URL,Review scope,Pre-edit issue,Phase 4 action,Distinct value after review,Source/safety boundary,Ownership result,Indexability result,Outcome,Evidence
https://echobuddha.com/learn/buddhism-for-beginners/,"Core Buddhist definition, misconception, practice, and source integrity","Strengthen the main beginner study map with doctrine/practice boundaries, a decision path, and clearer tradition/source limits.",Practice map; tradition diversity; source-versus-interpretation boundary,Three-path newcomer decision map; Buddhism is not one uniform culture or generic wellness,SN 56.11; SN 45.8,PASS — Phase 2 preserved,PASS — Phase 3 preserved,REMEDIATED,Rendered 610 → 856 words; content-specific additions documented.
https://echobuddha.com/learn/four-noble-truths/,"Core Buddhist definition, misconception, practice, and source integrity","Turn the thin card hub into the clear primary owner: define each truth, distinguish pain from added reactivity, explain the four tasks, and add a worked case.",Four truth/task model; worked criticism case; focused practice,Workplace criticism traced through four tasks; Dukkha is not the claim that life is only pain,SN 56.11,PASS — Phase 2 preserved,PASS — Phase 3 preserved,REMEDIATED,Rendered 439 → 837 words; content-specific additions documented.
https://echobuddha.com/learn/eightfold-path/,"Core Buddhist definition, misconception, practice, and source integrity","Strengthen the primary path owner with threefold training, mutually supporting factors, a worked scenario, and careful meaning of right.",Threefold training; integrated factors; difficult-reply case,Harsh-reply decision case; Right is not a weapon for moral superiority,SN 45.8,PASS — Phase 2 preserved,PASS — Phase 3 preserved,REMEDIATED,Rendered 510 → 841 words; content-specific additions documented.
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,"Core Buddhist definition, misconception, practice, and source integrity",Clarify Buddhism as a diverse living tradition and practice path without flattening schools or presenting generic wellness.,Living-tradition scope; teaching/practice/community map; tradition limits,"Responding to criticism; Not one uniform culture, mere philosophy, or relaxation system",SN 56.11; SN 45.8,PASS — Phase 2 preserved,PASS — Phase 3 preserved,REMEDIATED,Rendered 621 → 898 words; content-specific additions documented.
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,"Core Buddhist definition, misconception, practice, and source integrity","Ground karma in intentional action, distinguish it from fate/blame, and clarify what cannot be inferred about another person's suffering.",Intentional action; mixed motives; responsibility without shame,"Correction after a harmful reply; Not fate, punishment, or grounds for blaming suffering",AN 6.63,PASS — Phase 2 preserved,PASS — Phase 3 preserved,REMEDIATED,Rendered 556 → 873 words; content-specific additions documented.
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,"Core Buddhist definition, misconception, practice, and source integrity",Explain anicca as insight into conditioned experience rather than a slogan that all loss is easy to accept.,Conditioned change at multiple scales; grief-safe application,Praise and criticism changing over time; Not nihilism and not an instruction to minimize grief,Dhammapada 273–289,PASS — Phase 2 preserved,PASS — Phase 3 preserved,REMEDIATED,Rendered 564 → 866 words; content-specific additions documented.
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,"Core Buddhist definition, misconception, practice, and source integrity","Protect an already substantial ethics page; verify its voluntary-training, consent, intoxicant, repair, and non-shame framing.",No substantive change after quality review.,Existing assigned-role value retained.,Reviewed; no unsupported high-risk addition.,PASS — Phase 2 preserved,PASS — Phase 3 preserved,NO_CHANGE_REQUIRED,Pre-edit specification and page review.
https://echobuddha.com/articles/three-poisons-buddhism-explained/,"Core Buddhist definition, misconception, practice, and source integrity","Protect a distinct broad explainer if its roots, examples, and next steps already satisfy the role.",No substantive change after quality review.,Existing assigned-role value retained.,Reviewed; no unsupported high-risk addition.,PASS — Phase 2 preserved,PASS — Phase 3 preserved,NO_CHANGE_REQUIRED,Pre-edit specification and page review.
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,"Core Buddhist definition, misconception, practice, and source integrity",Protect the broad community owner if it already distinguishes monastic and wider community usage carefully.,No substantive change after quality review.,Existing assigned-role value retained.,Reviewed; no unsupported high-risk addition.,PASS — Phase 2 preserved,PASS — Phase 3 preserved,NO_CHANGE_REQUIRED,Pre-edit specification and page review.
https://echobuddha.com/learn/buddhist-dictionary/metta/,"Core Buddhist definition, misconception, practice, and source integrity","Strengthen the primary metta meaning owner: Pali context, goodwill rather than sentiment, related terms, ethical boundary, and route to practice.",Pali meaning; related brahmavihāra terms; definition/practice boundary,"Goodwill with a firm boundary; Not forced affection, approval, reconciliation, or access",Snp 1.8,PASS — Phase 2 preserved,PASS — Phase 3 preserved,REMEDIATED,Rendered 507 → 803 words; content-specific additions documented.
