URL,page_family,inbound_unique_pages,contextual_inbound_pages,navigation_inbound_pages,related_content_inbound_pages,anchor_diversity,minimum_click_depth,topic_centrality_percentile,internal_authority_signal,crawlable_anchor_evidence,canonical_target_conflicts,gsc_internal_links_reported_2026_08_13,protection_tier,future_remediation_need
https://echobuddha.com/404.html,ERROR,0,0,0,0,0,UNREACHABLE,0.59%,LOW,NO_INBOUND_EDGE_OBSERVED,0,NOT_IN_TOP_TARGET_EXPORT,SEO_UNKNOWN,Preserve justified contextual prominence; update direct links after any approved future migration.
https://echobuddha.com/about/,ABOUT,337,335,2,16,1,1,100%,HIGH,RENDERED_A_HREF_EDGES_OBSERVED,0,299,SEO_P1_HIGH,Preserve justified contextual prominence; update direct links after any approved future migration.
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,24,23,2,10,5,2,80%,MEDIUM,RENDERED_A_HREF_EDGES_OBSERVED,0,NOT_IN_TOP_TARGET_EXPORT,SEO_P3_LIMITED,Preserve justified contextual prominence; update direct links after any approved future migration.
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,ARTICLE,11,10,1,2,3,2,67.94%,MEDIUM,RENDERED_A_HREF_EDGES_OBSERVED,0,NOT_IN_TOP_TARGET_EXPORT,SEO_P3_LIMITED,Preserve justified contextual prominence; update direct links after any approved future migration.
https://echobuddha.com/articles/buddhist-approach-to-anger/,ARTICLE,19,17,4,5,7,2,75.59%,MEDIUM,RENDERED_A_HREF_EDGES_OBSERVED,0,NOT_IN_TOP_TARGET_EXPORT,SEO_P2_EMERGING,Preserve justified contextual prominence; update direct links after any approved future migration.
https://echobuddha.com/articles/buddhist-gratitude-practice/,ARTICLE,4,4,0,0,1,2,50.88%,MEDIUM,RENDERED_A_HREF_EDGES_OBSERVED,0,NOT_IN_TOP_TARGET_EXPORT,SEO_P3_LIMITED,Preserve justified contextual prominence; update direct links after any approved future migration.
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,ARTICLE,11,10,1,2,4,2,67.94%,MEDIUM,RENDERED_A_HREF_EDGES_OBSERVED,0,NOT_IN_TOP_TARGET_EXPORT,SEO_P3_LIMITED,Preserve justified contextual prominence; update direct links after any approved future migration.
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,ARTICLE,10,10,1,3,3,2,65.88%,MEDIUM,RENDERED_A_HREF_EDGES_OBSERVED,0,NOT_IN_TOP_TARGET_EXPORT,SEO_P3_LIMITED,Preserve justified contextual prominence; update direct links after any approved future migration.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,ARTICLE,45,41,33,4,5,2,90.29%,HIGH,RENDERED_A_HREF_EDGES_OBSERVED,0,NOT_IN_TOP_TARGET_EXPORT,SEO_P1_HIGH,Preserve justified contextual prominence; update direct links after any approved future migration.
https://echobuddha.com/articles/category/buddhist-wisdom/,ARTICLE_CATEGORY,95,95,49,20,4,1,93.82%,HIGH,RENDERED_A_HREF_EDGES_OBSERVED,0,86,SEO_P2_EMERGING,Preserve justified contextual prominence; update direct links after any approved future migration.
