Item / URL,Protected user journey,Protected navigation behavior,Protected mobile behavior,Protected accessibility behavior,Protected content,Protected ownership,Protected source/trust,Protected index state,Protected AdSense behavior,Phase 8 allowed changes,Phase 8 prohibited changes,Validation required
Global header,All primary journeys,Five links in order; Search separate; active state,"Progressive enhancement, Escape/outside close, focus return",Keyboard and aria-current,Labels may receive owner-approved refinement only,Learn/Meditation/Articles/Daily owners,Trust not moved into crowded primary nav,No route change,No ad control in header,Technical fixes that preserve hierarchy,Re-expand or hide nav without UX reconciliation,Browser keyboard/no-JS/route tests
/,First-time and returning,Start Here primary; three paths; return panel,No overflow at 360px,Semantic actions and heading order,"Purpose, FAQ truth and curated reading",Owner hubs remain dominant,Trust panel remains discoverable,Index/canonical unchanged,Existing script/slot conditions unchanged,Performance/security/consent hardening,Ad-first layout or metadata/index changes,Custom/browser/Lighthouse
/start-here/,First-time visitor,Three first actions and four learning steps,Staged choices wrap,Descriptive links,Orientation copy and deep-link preservation,Beginner owner direct,Safety/trust destinations available,Index/canonical/URL unchanged,No expansion,Technical/accessibility fixes,Turn into flat catalogue,Journey/SEO checks
/learn/,Structured learner,Begin/Foundations/Clarify/Sources,Responsive groups,Headings and link purpose,Learning destinations remain,Learn and Buddhism for Beginners remain owners,Source study route visible,Index/canonical/URL unchanged,No expansion,Technical hardening,Blur Learn/Articles ownership,Ownership/links/browser
/meditation/,Practice,Start/Choose/Adapt,Responsive groups,Headings/link purpose,Practice/safety/source notes,Meditation remains owner; tools support,Safety and sources visible,Index/canonical/URL unchanged,No expansion,Consent/performance fixes,Hide safety or add unsafe monetization pressure,Safety/browser/index
/articles/ and detail,Editorial reading,Articles distinct from Learn,Existing responsive templates,Byline/heading/link behavior,Phase 4 article value,Articles editorial owner,Author/sources/corrections,Index/canonical/URLs unchanged,No expansion in Phase 7,Technical hardening,Genericize templates or hide trust,Content/template/trust tests
Daily Reflections,Returning reflector,Top-level route and Today access,Responsive cards/breadcrumbs,Visible breadcrumb,Short reflection role,Daily owner,Attribution where present,Index/canonical/URLs unchanged,Exclusion/boundary unchanged,Technical review,Ad expansion without policy review,Route/breadcrumb/AdSense checks
Quotes,Quote browser,Secondary homepage/footer discovery,Responsive categories/stories,Visible breadcrumbs,Quote/story differentiation,Quotes owner,Attribution preserved,Index/canonical/URLs unchanged,No expansion,Technical hardening,Return to primary-nav crowding without review,Journey/breadcrumb/trust
Search,Topic lookup and recovery,Utility supports nav,Dialog/page usable on small screens,"Live/busy status, focus and Escape",315 valid indexed items,Family labels preserve ownership,Trust pages searchable,Search page remains noindex,No expansion,Security/performance fixes,Make search replace primary navigation or index query pages,Search/keyboard/index tests
Footer/trust routes,Trust evaluator and secondary discovery,Three groups and all destinations,No overflow,Semantic footer links,Legal/trust text unchanged,Primary owners not diluted,Author/editorial/process/sources/corrections/contact visible,States unchanged,Privacy settings remains accessible,Consent/legal hardening,Hide correction/source/privacy settings,Responsive/trust/consent tests
404,Error recovery,Home/Search/Start/Learn/Meditation,No overflow,Descriptive recovery links,Helpful recovery copy,Owner destinations,No trust regression,noindex and canonical false,No ads introduced,Technical routing fixes,Index 404 or remove recovery,Status/index/browser test
Repository architecture,All,Astro static behavior,Minimal JS,Existing automated a11y gates,No mass content rewrite,Phase 2 model,Phase 6 integrity,Phase 3 state,Manual slots disabled and scope unchanged,Phase 8 technical hardening,Framework migration or unreviewed URL/index/ad expansion,Full release/browser/Lighthouse
