Cluster,Primary owner,Indexable pages mapped,Primary owner present,Medium conflicts,High conflicts,Critical conflicts,Risk level,Expansion hold,Required resolution,Confidence
Beginner Buddhism,https://echobuddha.com/learn/buddhism-for-beginners/,7,Yes,1,1,0,HIGH,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
Four Noble Truths,https://echobuddha.com/learn/four-noble-truths/,6,Yes,2,1,0,HIGH,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
Noble Eightfold Path,https://echobuddha.com/learn/eightfold-path/,7,Yes,2,2,0,HIGH,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
Karma,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,3,Yes,0,0,0,MEDIUM,No,Protect owner and apply future approval gate.,High
Five Precepts,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,2,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Three Poisons,https://echobuddha.com/articles/three-poisons-buddhism-explained/,1,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Impermanence,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,5,Yes,1,2,0,HIGH,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
Attachment / Non-Attachment / Letting Go,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,4,Yes,1,0,0,MEDIUM,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
Compassion,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,5,Yes,1,0,0,MEDIUM,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
Loving-Kindness / Metta,https://echobuddha.com/learn/buddhist-dictionary/metta/,6,Yes,0,1,0,HIGH,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
Equanimity,https://echobuddha.com/articles/equanimity-in-buddhism/,1,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Right Speech,https://echobuddha.com/articles/right-speech-buddhism/,5,Yes,0,0,0,MEDIUM,No,Protect owner and apply future approval gate.,High
Patience,https://echobuddha.com/articles/three-ways-to-practice-patience/,2,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Anger,https://echobuddha.com/articles/buddhist-approach-to-anger/,1,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Forgiveness,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,1,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Gratitude,https://echobuddha.com/articles/buddhist-gratitude-practice/,1,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Dhamma / Dharma,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,2,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Sangha,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,4,Yes,0,0,0,LOW,No,Protect owner and apply future approval gate.,High
Meditation,https://echobuddha.com/meditation/,9,Yes,0,2,0,HIGH,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
Breath / Mindfulness of Breathing,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,3,Yes,1,0,0,MEDIUM,Yes,Resolve listed Phase 3/4 role conflicts before approving new indexable pages.,High
