Priority,Batch,URL,Page family,Topic cluster,Phase 1 score,Phase 1 problem,Phase 2 role,Primary owner URL,Is primary owner?,Phase 3 index state,Phase 3 handoff category,Why this page exists,This page does not own,Current unique value,Required unique value,Primary content problem,Source problem,Overlap problem,Example problem,Practice problem,Safety problem,FAQ problem,Expected action,Human review required,Status
P1,A,https://echobuddha.com/learn/buddhism-for-beginners/,learn hub,Beginner Buddhism,71,IMPROVE,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhism-for-beginners/,Yes,indexable,KEEP_INDEXED,This page exists as Echo Buddha's protected owner for Beginner Buddhism: The strongest structured entry into basic Buddhist teaching and practice.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “Buddhism for Beginners - Simple Buddhist Teachings”.",Protect broad ownership and route to genuinely distinct support roles.,"Strengthen the main beginner study map with doctrine/practice boundaries, a decision path, and clearer tradition/source limits.",Source relationship or interpretation boundary needs explicit review.,NONE,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
P1,A,https://echobuddha.com/learn/four-noble-truths/,learn hub,Four Noble Truths,70,IMPROVE,PRIMARY_PILLAR,https://echobuddha.com/learn/four-noble-truths/,Yes,indexable,KEEP_INDEXED,This page exists as Echo Buddha's protected owner for Four Noble Truths: The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “Four Noble Truths Explained for Beginners”.",Protect broad ownership and route to genuinely distinct support roles.,"Turn the thin card hub into the clear primary owner: define each truth, distinguish pain from added reactivity, explain the four tasks, and add a worked case.",Source relationship or interpretation boundary needs explicit review.,NONE,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
P1,A,https://echobuddha.com/learn/eightfold-path/,learn hub,Noble Eightfold Path,70,IMPROVE,PRIMARY_PILLAR,https://echobuddha.com/learn/eightfold-path/,Yes,indexable,KEEP_INDEXED,"This page exists as Echo Buddha's protected owner for Noble Eightfold Path: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “Noble Eightfold Path for Daily Life”.",Protect broad ownership and route to genuinely distinct support roles.,"Strengthen the primary path owner with threefold training, mutually supporting factors, a worked scenario, and careful meaning of right.",Source relationship or interpretation boundary needs explicit review.,NONE,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
P2,A,https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,learn detail,Beginner Buddhism,69,IMPROVE,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhism-for-beginners/,No,indexable,IMPROVE_LATER_PHASE,"This page exists to serve beginner informational within Beginner Buddhism through a narrower explanation, misconception, or example set specific to “What Is Buddhism? A Clear Beginner's Guide”.",This page does not own the broad Beginner Buddhism explanation; that belongs to /learn/buddhism-for-beginners/.,"A narrower explanation, misconception, or example set specific to “What Is Buddhism? A Clear Beginner's Guide”.",Stay within BEGINNER_FOUNDATION; avoid repeating the owner's broad definition and opening journey.,Clarify Buddhism as a diverse living tradition and practice path without flattening schools or presenting generic wellness.,Source relationship or interpretation boundary needs explicit review.,MEDIUM,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
P2,A,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,learn detail,Karma,69,IMPROVE,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,Yes,indexable,KEEP_INDEXED,This page exists as Echo Buddha's protected owner for Karma: The lesson owns the broad Buddhist meaning; the article applies intention and consequence to daily choices.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “What Is Karma in Buddhism? A Beginner's Guide”.",Protect broad ownership and route to genuinely distinct support roles.,"Ground karma in intentional action, distinguish it from fate/blame, and clarify what cannot be inferred about another person's suffering.",Source relationship or interpretation boundary needs explicit review.,NONE,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
P2,A,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,learn detail,Impermanence,65,IMPROVE,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Yes,indexable,KEEP_INDEXED,This page exists as Echo Buddha's protected owner for Impermanence: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “What Is Impermanence?”.",Protect broad ownership and route to genuinely distinct support roles.,Explain anicca as insight into conditioned experience rather than a slogan that all loss is easy to accept.,Source relationship or interpretation boundary needs explicit review.,NONE,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
P3,A,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,learn detail,Five Precepts,73,IMPROVE,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,Yes,indexable,KEEP_INDEXED,This page exists as Echo Buddha's protected owner for Five Precepts: The lesson owns the ethical framework; practical articles show application without redefining it.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “The Five Precepts in Buddhism: A Beginner's Guide to Ethical Living”.",Protect broad ownership and route to genuinely distinct support roles.,"Protect an already substantial ethics page; verify its voluntary-training, consent, intoxicant, repair, and non-shame framing.",Source relationship or interpretation boundary needs explicit review.,NONE,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,NO_CHANGE_REVIEW,No,NO_CHANGE_REQUIRED_VALIDATED
P3,A,https://echobuddha.com/articles/three-poisons-buddhism-explained/,article,Three Poisons,82,KEEP,PRIMARY_PILLAR,https://echobuddha.com/articles/three-poisons-buddhism-explained/,Yes,indexable,KEEP_INDEXED,"This page exists as Echo Buddha's protected owner for Three Poisons: It is the only substantial broad explainer of greed, aversion, and delusion.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “Three Poisons in Buddhism: Greed, Aversion, and Delusion”.",Protect broad ownership and route to genuinely distinct support roles.,"Protect a distinct broad explainer if its roots, examples, and next steps already satisfy the role.",Source relationship or interpretation boundary needs explicit review.,NONE,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,NO_CHANGE_REVIEW,No,NO_CHANGE_REQUIRED_VALIDATED
P3,A,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,article,Sangha,79,IMPROVE,PRIMARY_PILLAR,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,Yes,indexable,KEEP_INDEXED,This page exists as Echo Buddha's protected owner for Sangha: It provides the fuller community explanation; the dictionary and temple guide have narrower roles.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “What Is Sangha? Buddhist Community for Beginners”.",Protect broad ownership and route to genuinely distinct support roles.,Protect the broad community owner if it already distinguishes monastic and wider community usage carefully.,Verify existing source framing; do not invent authority.,NONE,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,NO_CHANGE_REVIEW,No,NO_CHANGE_REQUIRED_VALIDATED
P2,B,https://echobuddha.com/learn/buddhist-dictionary/metta/,learn detail,Loving-Kindness / Metta,62,SUBSTANTIAL REWRITE,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,indexable,IMPROVE_LATER_PHASE,This page exists as Echo Buddha's protected owner for Loving-Kindness / Metta: The term page should own metta meaning while meditation pages own practices and scripts.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","A narrower explanation, misconception, or example set specific to “Metta Meaning: Loving-Kindness in Buddhism”.",Protect broad ownership and route to genuinely distinct support roles.,"Strengthen the primary metta meaning owner: Pali context, goodwill rather than sentiment, related terms, ethical boundary, and route to practice.",Source relationship or interpretation boundary needs explicit review.,NONE,Add only examples that clarify the assigned role.,Practice must derive from the page concept rather than a generic calming script.,No new clinical or authority claim permitted.,Retain only genuine page-specific follow-up questions; no FAQ expansion for schema.,MATERIAL_REMEDIATION,No,REMEDIATED_VALIDATED
