URL,Phase 3 intended state,Current actual state,Phase 3 intended sitemap,Current sitemap,Index drift?,Result
https://echobuddha.com/learn/buddhism-for-beginners/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/four-noble-truths/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/eightfold-path/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/meditation/breathing-meditation/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/meditation/loving-kindness-meditation/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/meditation/walking-meditation/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/meditation/when-meditation-feels-hard/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/meditation/meditation-for-beginners/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/meditation/meditation-posture-for-beginners/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/right-speech-buddhism/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,indexable,indexable,in sitemap,in sitemap,No,PASS
https://echobuddha.com/learn/dhammapada-reflections/,indexable,indexable,in sitemap,in sitemap,No,PASS
