Topic cluster,Primary owner URL,Page URL,Page role,Relationship level,Link direction,Protected role,Future action,Evidence
Trust / Policy,https://echobuddha.com/about/,https://echobuddha.com/about/,TRUST_POLICY,LEVEL 1,Owner → best support pages,Yes,HUMAN_REVIEW,"Phase 1: Built 2026-08-11T02:17:46.273Z; 304 words; 5 content headings; authored route; nearest /how-echo-buddha-creates-content/ combined overlap 18.6%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1171 words; 26 content headings; authored route; nearest /articles/creating-a-peaceful-corner-at-home/ combined overlap 41.9%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
Beginner Buddhism,https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,BEGINNER_FOUNDATION,LEVEL 2,BEGINNER_FOUNDATION → primary owner,No,CONSOLIDATE_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 1426 words; 28 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 39.6%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The strongest structured entry into basic Buddhist teaching and practice.
Anger,https://echobuddha.com/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 1258 words; 28 content headings; authored route; nearest /articles/compassion-as-a-daily-discipline/ combined overlap 39.7%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It is the dedicated Buddhist response-to-anger guide and can link upward to the Three Poisons.
Gratitude,https://echobuddha.com/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,PRACTICAL_APPLICATION,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 1364 words; 21 content headings; authored route; nearest /articles/how-to-practice-non-attachment/ combined overlap 32.8%; external source links 2; role review: PRACTICAL_APPLICATION; owner selection: It is the dedicated Buddhist gratitude practice and explicitly distinguishes appreciation from forced positivity and clinging.
Forgiveness,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 1367 words; 27 content headings; authored route; nearest /articles/non-attachment-in-relationships/ combined overlap 34.3%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It uniquely distinguishes release from approval and protects boundaries.
Impermanence,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,SUPPORTING_EXPLANATION,LEVEL 2,SUPPORTING_EXPLANATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1267 words; 28 content headings; authored route; nearest /articles/impermanence-in-buddhism-letting-go/ combined overlap 43.9%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
Anxiety / Overthinking,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,SCENARIO_GUIDE,LEVEL 3,SCENARIO_GUIDE → primary owner,No,HUMAN_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 1366 words; 26 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 36.0%; external source links 0; role review: SCENARIO_GUIDE; owner selection: It owns the anxiety-specific gentle practice; overthinking remains a related but distinct thought-loop scenario.
Article Discovery,https://echobuddha.com/articles/,https://echobuddha.com/articles/category/buddhist-wisdom/,CATEGORY,LEVEL 3,CATEGORY → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 685 words; 23 content headings; authored route; nearest /articles/category/practice/ combined overlap 19.7%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
Article Discovery,https://echobuddha.com/articles/,https://echobuddha.com/articles/category/meditation/,CATEGORY,LEVEL 3,CATEGORY → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 354 words; 12 content headings; authored route; nearest /quotes/meditation/ combined overlap 25.1%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
Article Discovery,https://echobuddha.com/articles/,https://echobuddha.com/articles/category/mindfulness/,CATEGORY,LEVEL 3,CATEGORY → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 253 words; 8 content headings; authored route; nearest /quotes/mindfulness/ combined overlap 31.0%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
Buddhist Practice,https://echobuddha.com/articles/category/practice/,https://echobuddha.com/articles/category/practice/,CATEGORY,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 317 words; 10 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 20.4%; external source links 0; role review: CATEGORY; owner selection: The category organizes practical articles without owning their underlying Buddhist doctrines.
Article Discovery,https://echobuddha.com/articles/,https://echobuddha.com/articles/category/reflection/,CATEGORY,LEVEL 3,CATEGORY → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 342 words; 12 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 19.7%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
Compassion,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1220 words; 28 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 40.4%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
Compassion,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1195 words; 26 content headings; authored route; nearest /articles/compassion-with-boundaries/ combined overlap 42.0%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
Compassion,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-with-boundaries/,SCENARIO_GUIDE,LEVEL 3,SCENARIO_GUIDE → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 735 words; 20 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 42.0%; external source links 2; role review: SCENARIO_GUIDE; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
Meditation,https://echobuddha.com/meditation/,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,SCENARIO_GUIDE,LEVEL 3,SCENARIO_GUIDE → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 1154 words; 26 content headings; authored route; nearest /articles/beginning-a-daily-mindfulness-practice/ combined overlap 41.9%; external source links 0; role review: SCENARIO_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
Dhamma / Dharma,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,https://echobuddha.com/articles/dhamma-vs-dharma/,COMPARISON_PAGE,LEVEL 3,COMPARISON_PAGE → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 875 words; 21 content headings; authored route; nearest /articles/visiting-a-buddhist-temple-respectfully/ combined overlap 45.2%; external source links 3; role review: COMPARISON_PAGE; owner selection: The dictionary page owns meaning and linguistic context; the article owns the comparison question.
Dhammapada,https://echobuddha.com/learn/dhammapada-reflections/,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1193 words; 26 content headings; authored route; nearest /articles/dhammapada-reflection-what-we-think/ combined overlap 39.5%; external source links 0; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
Dhammapada,https://echobuddha.com/learn/dhammapada-reflections/,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,SOURCE_STUDY,LEVEL 3,SOURCE_STUDY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1395 words; 29 content headings; authored route; nearest /articles/dhammapada-verse-1-meaning/ combined overlap 46.6%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
