"Control","Surface","Evidence","Result","Severity","Action"
"Primary navigation","Desktop and mobile","Start Here, Learn, Meditation, Articles, Daily Reflection","PASS","None","Protect; rerun current browser automation after any future public change"
"New visitor path","/ → /start-here/","Purpose and first steps clear","PASS","None","Protect; rerun current browser automation after any future public change"
"Learning path","/ → /learn/","Foundations and distinct learning sections","PASS","None","Protect; rerun current browser automation after any future public change"
"Practice path","/ → /meditation/","Choice by need and safety link","PASS","None","Protect; rerun current browser automation after any future public change"
"Reflection path","/ → /daily-reflections/today/","Short repeat-visit journey","PASS","None","Protect; rerun current browser automation after any future public change"
"Search","Live overlay","Relevant results for right speech; noindex utility route","PASS","None","Protect; rerun current browser automation after any future public change"
"Mobile menu","390×844 live test","Open/close controls and five primary destinations","PASS","None","Protect; rerun current browser automation after any future public change"
"Keyboard","Skip link, labelled controls, focusable dialogs","Existing Phase 8 automated checks plus live semantic inspection","PASS","None","Protect; rerun current browser automation after any future public change"
"Accessibility","336 built routes plus representative interaction","One H1/main and labelled landmarks enforced by validation","PASS WITH LIMITATION","P3 LIMITATION","Protect; rerun current browser automation after any future public change"
"Intrusive UX","Live site","Consent is non-paywall; content remains usable after rejection; no ads","PASS","None","Protect; rerun current browser automation after any future public change"
"Content prominence","Representative families","Main content precedes trust/footer links and no ad units compete","PASS","None","Protect; rerun current browser automation after any future public change"
"First-time completeness","Homepage/footer/trust pages","What, who, where to start, learn, practice, and verify are discoverable","PASS","None","Protect; rerun current browser automation after any future public change"
