quoteId,quoteText,publicUrl,originClassification,attributedAuthor,primarySource,secondaryVerificationSource,canonicalTextReference,translator,translationEdition,copyrightOrLicenseStatus,attributionWording,verificationStatus,reviewerStatus,indexabilityRecommendation,editorialNotes
awareness:acceptance-before-next-step,Acceptance names the moment clearly before choosing the next kind step.,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:anger-asks-for-speed-awareness-asks-for-one-more,Anger asks for speed; awareness asks for one more breath.,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:awareness-does-not-remove-the-storm-it-keeps-you,Awareness does not remove the storm; it keeps you from becoming every cloud.,https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:clear-seeing-begins-with-the-courage-to-stop-looking,Clear seeing begins with the courage to stop looking away.,https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:feelings-are-honest-about-their-presence-not-always-about,"Feelings are honest about their presence, not always about their conclusions.",https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:feelings-without-the-wheel,Emotional balance lets feelings speak without handing them the wheel.,https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:look-beneath-the-reaction-and-you-may-find-a,Look beneath the reaction and you may find a need asking to be understood.,https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:name-the-feeling-gently-and-it-may-stop-speaking,"Name the feeling gently, and it may stop speaking for your whole life.",https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:notice-the-habit-before-trying-to-become-someone-without,Notice the habit before trying to become someone without it.,https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:one-breath-before-anger-replies,Anger becomes wiser when one breath stands between feeling and reply.,https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:small-acts-of-attention-can-turn-an-ordinary-day,Small acts of attention can turn an ordinary day into a teacher.,https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:the-body-often-knows-you-are-overwhelmed-before-the,The body often knows you are overwhelmed before the mind admits it.,https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:thoughts-are-visitors,Thoughts may visit often; you do not have to host each one.,https://echobuddha.com/quotes/awareness/thoughts-are-visitors/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:thoughts-pass-without-commanding-you,A calm mind lets thoughts pass without becoming their servant.,https://echobuddha.com/quotes/awareness/thoughts-pass-without-commanding-you/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:what-you-can-observe-clearly-no-longer-controls-you,What you can observe clearly no longer controls you in quite the same way.,https://echobuddha.com/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
awareness:when-the-mind-tightens-let-the-body-be-your,"When the mind tightens, let the body be your first teacher.",https://echobuddha.com/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:a-gentle-response-can-end-suffering-that-anger-would,A gentle response can end suffering that anger would pass along.,https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
compassion:before-judging-another-life-remember-how-much-of-your,"Before judging another life, remember how much of your own remains unseen.",https://echobuddha.com/quotes/compassion/before-judging-another-life-remember-how-much-of-your/,Original Echo Buddha writing,Echo Buddha Editorial,Echo Buddha original editorial record,Not applicable for current original-writing classification,Not a canonical quotation,Not applicable,Not applicable,Original site editorial copy; owner/legal review still required before external reuse.,Original Echo Buddha reflection; not a Buddha quote or scripture translation.,repository-reviewed,External Buddhist studies review not claimed.,keep-noindex,Current repository data presents this as original Echo Buddha writing.
