cluster_id,url_a,url_b,page_family_a,page_family_b,lexical_similarity,structural_similarity,heading_similarity,semantic_similarity_if_available,shared_phrase_ratio,calibration_band,notes
ND-0001,https://echobuddha.com/quotes/wisdom/difficult-people-and-boundaries/,https://echobuddha.com/quotes/wisdom/wise-silence/,QUOTE_STORY,QUOTE_STORY,0.3502,1,0.8889,not computed; no external embedding API used,0.3502,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0002,https://echobuddha.com/quotes/wisdom/difficult-people-and-boundaries/,https://echobuddha.com/quotes/wisdom/wisdom-sees-clearly/,QUOTE_STORY,QUOTE_STORY,0.3418,1,0.8889,not computed; no external embedding API used,0.3418,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0003,https://echobuddha.com/quotes/wisdom/difficult-people-and-boundaries/,https://echobuddha.com/quotes/wisdom/karma-begins-in-intention/,QUOTE_STORY,QUOTE_STORY,0.3364,1,0.8889,not computed; no external embedding API used,0.3364,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0004,https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,https://echobuddha.com/quotes/awareness/thoughts-are-visitors/,QUOTE_STORY,QUOTE_STORY,0.3348,1,0.8889,not computed; no external embedding API used,0.3348,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0005,https://echobuddha.com/quotes/wisdom/difficult-people-and-boundaries/,https://echobuddha.com/quotes/wisdom/understanding-suffering-honestly/,QUOTE_STORY,QUOTE_STORY,0.3341,1,0.8889,not computed; no external embedding API used,0.3341,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0006,https://echobuddha.com/quotes/letting-go/forgiveness-without-approving-harm/,https://echobuddha.com/quotes/letting-go/where-attachment-begins/,QUOTE_STORY,QUOTE_STORY,0.3337,1,0.8889,not computed; no external embedding API used,0.3337,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0007,https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,QUOTE_STORY,QUOTE_STORY,0.3333,1,0.8889,not computed; no external embedding API used,0.3333,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0008,https://echobuddha.com/quotes/wisdom/wisdom-sees-clearly/,https://echobuddha.com/quotes/wisdom/wise-silence/,QUOTE_STORY,QUOTE_STORY,0.3333,1,0.8889,not computed; no external embedding API used,0.3333,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0009,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,QUOTE_STORY,QUOTE_STORY,0.333,1,0.8889,not computed; no external embedding API used,0.333,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0010,https://echobuddha.com/quotes/letting-go/soften-around-stress/,https://echobuddha.com/quotes/letting-go/where-attachment-begins/,QUOTE_STORY,QUOTE_STORY,0.333,1,0.8889,not computed; no external embedding API used,0.333,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0011,https://echobuddha.com/quotes/wisdom/karma-begins-in-intention/,https://echobuddha.com/quotes/wisdom/wisdom-sees-clearly/,QUOTE_STORY,QUOTE_STORY,0.3318,1,0.8889,not computed; no external embedding API used,0.3318,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0012,https://echobuddha.com/quotes/wisdom/contentment-with-what-is-here/,https://echobuddha.com/quotes/wisdom/difficult-people-and-boundaries/,QUOTE_STORY,QUOTE_STORY,0.3307,1,0.8889,not computed; no external embedding API used,0.3307,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0013,https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,https://echobuddha.com/quotes/awareness/thoughts-are-visitors/,QUOTE_STORY,QUOTE_STORY,0.3305,1,0.8889,not computed; no external embedding API used,0.3305,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0014,https://echobuddha.com/quotes/wisdom/difficult-people-and-boundaries/,https://echobuddha.com/quotes/wisdom/right-speech-with-kindness/,QUOTE_STORY,QUOTE_STORY,0.33,1,0.8889,not computed; no external embedding API used,0.33,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0015,https://echobuddha.com/quotes/wisdom/understanding-suffering-honestly/,https://echobuddha.com/quotes/wisdom/wisdom-sees-clearly/,QUOTE_STORY,QUOTE_STORY,0.3296,1,0.8889,not computed; no external embedding API used,0.3296,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0016,https://echobuddha.com/quotes/wisdom/contentment-with-what-is-here/,https://echobuddha.com/quotes/wisdom/wisdom-sees-clearly/,QUOTE_STORY,QUOTE_STORY,0.3293,1,0.8889,not computed; no external embedding API used,0.3293,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
ND-0017,https://echobuddha.com/quotes/wisdom/difficult-people-and-boundaries/,https://echobuddha.com/quotes/wisdom/simplicity-clears-the-room/,QUOTE_STORY,QUOTE_STORY,0.3292,1,0.8889,not computed; no external embedding API used,0.3292,high lexical review,Five-token shingle Jaccard plus heading/structure evidence; review flag only.
