URL,Page family,Index state,AdSense script present,Ads eligible by route policy,Phase 3 compatibility,Reason
https://echobuddha.com/,homepage,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/404.html,error utility,noindex,No,No,Compatible,Noindex does not block accessibility; route remains excluded from page-level ad eligibility where applicable.
https://echobuddha.com/about/,trust/policy,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/,hub/utility,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/buddhist-approach-to-anger/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/buddhist-gratitude-practice/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/category/buddhist-wisdom/,article category,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/category/meditation/,article category,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/category/mindfulness/,article category,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/category/practice/,article category,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/category/reflection/,article category,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/compassion-with-boundaries/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/dhamma-vs-dharma/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/eightfold-path-explained/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/equanimity-in-buddhism/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/first-week-buddhist-practice/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/five-precepts-in-daily-life/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/four-noble-truths-explained-simply/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/four-noble-truths-explained/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/how-to-meditate-for-beginners/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/how-to-practice-non-attachment/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/impermanence-in-buddhism/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/letting-go-without-giving-up/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/loving-kindness-meditation-guide/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/metta-meditation-script/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/mindful-email-and-texting/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/mindfulness-for-better-sleep/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/mindfulness-morning-routine/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/mindfulness-vs-meditation/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/non-attachment-in-relationships/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/right-livelihood-modern-life/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/right-speech-buddhism/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/right-speech-examples/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/three-poisons-buddhism-explained/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/three-ways-to-practice-patience/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/walking-meditation-step-by-step/,article,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/what-is-karma-in-buddhism/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,article,indexable,Yes,Potentially,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/authors/echo-buddha-editorial/,author/trust,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/buddhist-sources-and-citations/,trust/policy,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/contact/,trust/policy,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/corrections/,trust/policy,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/daily-reflections/,hub/utility,indexable,No,No,Compatible,Indexability unchanged; Phase 3 did not expand monetization.
https://echobuddha.com/daily-reflections/anger-as-a-signal/,daily reflection,noindex,No,No,Compatible,Noindex does not block accessibility; route remains excluded from page-level ad eligibility where applicable.
https://echobuddha.com/daily-reflections/begin-again-without-shame/,daily reflection,noindex,No,No,Compatible,Noindex does not block accessibility; route remains excluded from page-level ad eligibility where applicable.
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,daily reflection,noindex,No,No,Compatible,Noindex does not block accessibility; route remains excluded from page-level ad eligibility where applicable.
https://echobuddha.com/daily-reflections/enough-for-this-moment/,daily reflection,noindex,No,No,Compatible,Noindex does not block accessibility; route remains excluded from page-level ad eligibility where applicable.
https://echobuddha.com/daily-reflections/evening-release/,daily reflection,noindex,No,No,Compatible,Noindex does not block accessibility; route remains excluded from page-level ad eligibility where applicable.
https://echobuddha.com/daily-reflections/family-patience/,daily reflection,noindex,No,No,Compatible,Noindex does not block accessibility; route remains excluded from page-level ad eligibility where applicable.
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,daily reflection,noindex,No,No,Compatible,Noindex does not block accessibility; route remains excluded from page-level ad eligibility where applicable.
https://echobuddha.com/daily-reflections/gratitude-for-change/,daily reflection,noindex,No,No,Compatible,Noindex does not block accessibility; route remains excluded from page-level ad eligibility where applicable.
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,daily reflection,noindex,No,No,Compatible,Noindex does not block accessibility; route remains excluded from page-level ad eligibility where applicable.
