Priority,URL / Page family,Topic cluster,Current role,Current index state,Template issue,Repeated introduction issue,Repeated conclusion issue,Repeated heading/structure issue,Repeated transition issue,Repeated FAQ issue,Repeated practice issue,Cross-page examples,Why this is Phase 5 rather than Phase 4,Protected content that must not be lost,Protected source claims,Protected safety language,Protected topic ownership,Phase 5 recommendation,Human review needed?,Evidence
P2,https://echobuddha.com/articles/dhamma-vs-dharma/,Dhamma / Dharma,COMPARISON_PAGE,indexable,Medium,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,Direct distinction between concepts that readers commonly confuse in “Dhamma vs Dharma: Buddhist Meaning and Spelling”.,Low,NO_CRITICAL_ISSUE,COMPARISON_PAGE -> https://echobuddha.com/learn/buddhist-dictionary/dhamma/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,"Built 2026-08-11T02:17:46.273Z; 875 words; 21 content headings; authored route; nearest /articles/visiting-a-buddhist-temple-respectfully/ combined overlap 45.2%; external source links 3 | Phase 1: Built 2026-08-11T02:17:46.273Z; 875 words; 21 content headings; authored route; nearest /articles/visiting-a-buddhist-temple-respectfully/ combined overlap 45.2%; external source links 3; role review: COMPARISON_PAGE; owner selection: The dictionary page owns meaning and linguistic context; the article owns the comparison question. | Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5. | This page exists to serve comparative within Dhamma / Dharma through direct distinction between concepts that readers commonly confuse in “Dhamma vs Dharma: Buddhist Meaning and Spelling”."
P2,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Dhammapada,SOURCE_STUDY,indexable,Medium,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada What We Think: Translation, Paraphrase, Reflection”.",Low,NO_CRITICAL_ISSUE,SOURCE_STUDY -> https://echobuddha.com/learn/dhammapada-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",Yes,"Built 2026-08-11T02:17:46.273Z; 1395 words; 29 content headings; authored route; nearest /articles/dhammapada-verse-1-meaning/ combined overlap 46.6%; external source links 1 | Phase 1: Built 2026-08-11T02:17:46.273Z; 1395 words; 29 content headings; authored route; nearest /articles/dhammapada-verse-1-meaning/ combined overlap 46.6%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection. | Indexability remains unchanged because publisher, expert, source, or wellbeing judgement is required."
P2,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,Dhammapada,SOURCE_STUDY,indexable,Medium,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada Verse 1 Meaning and Translation Caution”.",Low,NO_CRITICAL_ISSUE,SOURCE_STUDY -> https://echobuddha.com/learn/dhammapada-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",Yes,"Built 2026-08-11T02:17:46.273Z; 835 words; 21 content headings; authored route; nearest /articles/dhammapada-reflection-what-we-think/ combined overlap 46.6%; external source links 2 | Phase 1: Built 2026-08-11T02:17:46.273Z; 835 words; 21 content headings; authored route; nearest /articles/dhammapada-reflection-what-we-think/ combined overlap 46.6%; external source links 2; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection. | Indexability remains unchanged because publisher, expert, source, or wellbeing judgement is required."
P2,https://echobuddha.com/articles/how-to-practice-non-attachment/,Attachment / Non-Attachment / Letting Go,PRACTICAL_APPLICATION,indexable,Medium,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,Daily-life examples or a repeatable application tied specifically to “How to Practice Non-Attachment”.,Medium,NO_CRITICAL_ISSUE,PRACTICAL_APPLICATION -> https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,"Built 2026-08-11T02:17:46.273Z; 1199 words; 27 content headings; authored route; nearest /articles/letting-go-without-giving-up/ combined overlap 47.2%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 1199 words; 27 content headings; authored route; nearest /articles/letting-go-without-giving-up/ combined overlap 47.2%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: It most clearly distinguishes clinging from care and anchors the practical release cluster. | Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
P2,https://echobuddha.com/articles/letting-go-without-giving-up/,Attachment / Non-Attachment / Letting Go,PRACTICAL_APPLICATION,indexable,Medium,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,Daily-life examples or a repeatable application tied specifically to “Letting Go Without Giving Up”.,Medium,NO_CRITICAL_ISSUE,PRACTICAL_APPLICATION -> https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,"Built 2026-08-11T02:17:46.273Z; 1210 words; 28 content headings; authored route; nearest /articles/how-to-practice-non-attachment/ combined overlap 47.2%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 1210 words; 28 content headings; authored route; nearest /articles/how-to-practice-non-attachment/ combined overlap 47.2%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: It most clearly distinguishes clinging from care and anchors the practical release cluster. | Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
P2,https://echobuddha.com/articles/mindful-email-and-texting/,Right Speech,SCENARIO_GUIDE,indexable,Medium,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,Worked guidance for the specific situation named by “Mindful Email and Texting with Buddhist Right Speech”.,Low,NO_CRITICAL_ISSUE,SCENARIO_GUIDE -> https://echobuddha.com/articles/right-speech-buddhism/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,"Built 2026-08-11T02:17:46.273Z; 845 words; 21 content headings; authored route; nearest /articles/right-speech-examples/ combined overlap 46.6%; external source links 2 | Phase 1: Built 2026-08-11T02:17:46.273Z; 845 words; 21 content headings; authored route; nearest /articles/right-speech-examples/ combined overlap 46.6%; external source links 2; role review: SCENARIO_GUIDE; owner selection: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario. | Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5. | This page exists to serve scenario application within Right Speech through worked guidance for the specific situation named by “Mindful Email and Texting with Buddhist Right Speech”."
P2,https://echobuddha.com/articles/right-speech-examples/,Right Speech,SUPPORTING_EXPLANATION,indexable,Medium,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"A narrower explanation, misconception, or example set specific to “Right Speech Examples for Everyday Life”.",Low,NO_CRITICAL_ISSUE,SUPPORTING_EXPLANATION -> https://echobuddha.com/articles/right-speech-buddhism/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,"Built 2026-08-11T02:17:46.273Z; 784 words; 21 content headings; authored route; nearest /articles/mindful-email-and-texting/ combined overlap 46.6%; external source links 2 | Phase 1: Built 2026-08-11T02:17:46.273Z; 784 words; 21 content headings; authored route; nearest /articles/mindful-email-and-texting/ combined overlap 46.6%; external source links 2; role review: SUPPORTING_EXPLANATION; owner selection: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario. | Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
P2,https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,Sangha,SCENARIO_GUIDE,indexable,Medium,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,Worked guidance for the specific situation named by “Visiting a Buddhist Temple Respectfully: Beginner Guide”.,Low,NO_CRITICAL_ISSUE,SCENARIO_GUIDE -> https://echobuddha.com/articles/what-is-sangha-buddhist-community/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,"Built 2026-08-11T02:17:46.273Z; 888 words; 21 content headings; authored route; nearest /articles/what-is-sangha-buddhist-community/ combined overlap 46.8%; external source links 4 | Phase 1: Built 2026-08-11T02:17:46.273Z; 888 words; 21 content headings; authored route; nearest /articles/what-is-sangha-buddhist-community/ combined overlap 46.8%; external source links 4; role review: SCENARIO_GUIDE; owner selection: It provides the fuller community explanation; the dictionary and temple guide have narrower roles. | Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5."
P2,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,Sangha,PRIMARY_PILLAR,indexable,Medium,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"A narrower explanation, misconception, or example set specific to “What Is Sangha? Buddhist Community for Beginners”.",Low,NO_CRITICAL_ISSUE,PRIMARY_PILLAR -> https://echobuddha.com/articles/what-is-sangha-buddhist-community/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 1759 words; 25 content headings; authored route; nearest /articles/visiting-a-buddhist-temple-respectfully/ combined overlap 46.8%; external source links 3 | Phase 1: Built 2026-08-11T02:17:46.273Z; 1759 words; 25 content headings; authored route; nearest /articles/visiting-a-buddhist-temple-respectfully/ combined overlap 46.8%; external source links 3; role review: PRIMARY_PILLAR; owner selection: It provides the fuller community explanation; the dictionary and temple guide have narrower roles. | Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified. | This page exists as Echo Buddha's protected owner for Sangha: It provides the fuller community explanation; the dictionary and temple guide have narrower roles.
P1,https://echobuddha.com/daily-reflections/anger-as-a-signal/,Daily Reflections,RECURRING_USER_CONTENT,"noindex, follow",High,Review page-specific evidence; do not assume,Review page-specific evidence; do not assume,Phase 1 repeated-structure evidence,Review,Review only where present,Review only where present,See Phase 1 editorial-structure and template-language registers,Substantive role/source/safety/index state is valid; remaining issue is cross-page editorial sameness.,"Returning-reader cadence, a short reflection prompt, and a bounded daily practice.",Medium,NO_CRITICAL_ISSUE,RECURRING_USER_CONTENT -> https://echobuddha.com/daily-reflections/,"Reduce repeated editorial scaffolding while preserving role, URL, index state, sources, examples, and safety boundaries.",No,Built 2026-08-11T02:17:46.273Z; 310 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 73.7%; external source links 0 | Phase 1: Built 2026-08-11T02:17:46.273Z; 310 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 73.7%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries. | Recurring reflection detail is useful to returning users but too brief and structurally repetitive to justify independent Google indexing; the hub remains indexed.
