URL,family,viewport/device,LCP lab,INP proxy/TBT where applicable,CLS lab,field CWV where available,JS transfer,CSS transfer,total transfer,main issue,final result
https://echobuddha.com/,Homepage,mobile,935.0 ms,TBT 0 ms (not INP),0.000000,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,116803 bytes,No material regression,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,Cornerstone article,mobile,915.1 ms,TBT 0 ms (not INP),0.000000,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,42529 bytes,No material regression,PASS
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,Learning page,mobile,921.2 ms,TBT 0 ms (not INP),0.000000,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,35578 bytes,No material regression,PASS
https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,Quote story,mobile,910.6 ms,TBT 0 ms (not INP),0.000000,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,87123 bytes,No material regression,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,Daily reflection,mobile,1208.4 ms,TBT 0 ms (not INP),0.001734,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,34847 bytes,LCP regression 294.9 ms,PASS
https://echobuddha.com/meditation/breathing-meditation/,Meditation page,mobile,916.6 ms,TBT 0 ms (not INP),0.000000,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,36390 bytes,No material regression,PASS
https://echobuddha.com/quotes/mindfulness/,Topic hub,mobile,903.6 ms,TBT 0 ms (not INP),0.001734,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,37964 bytes,No material regression,PASS
https://echobuddha.com/search/,Search,mobile,963.5 ms,TBT 0 ms (not INP),0.001734,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,33710 bytes,No material regression,PASS
https://echobuddha.com/tools/,Tools,mobile,1112.0 ms,TBT 0 ms (not INP),0.001734,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,48167 bytes,No material regression,PASS
https://echobuddha.com/privacy-policy/,Privacy,mobile,911.4 ms,TBT 0 ms (not INP),0.001734,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,34017 bytes,No material regression,PASS
https://echobuddha.com/,Homepage,desktop,424.8 ms,TBT 0 ms (not INP),0.000363,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,200251 bytes,No material regression,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,Cornerstone article,desktop,283.2 ms,TBT 0 ms (not INP),0.000363,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,42529 bytes,No material regression,PASS
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,Learning page,desktop,250.0 ms,TBT 0 ms (not INP),0.000363,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,35578 bytes,No material regression,PASS
https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,Quote story,desktop,243.6 ms,TBT 0 ms (not INP),0.000363,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,123411 bytes,No material regression,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,Daily reflection,desktop,282.8 ms,TBT 0 ms (not INP),0.000363,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,34847 bytes,No material regression,PASS
https://echobuddha.com/meditation/breathing-meditation/,Meditation page,desktop,249.6 ms,TBT 0 ms (not INP),0.000000,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,36390 bytes,No material regression,PASS
https://echobuddha.com/quotes/mindfulness/,Topic hub,desktop,250.4 ms,TBT 0 ms (not INP),0.000000,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,165432 bytes,No material regression,PASS
https://echobuddha.com/search/,Search,desktop,288.3 ms,TBT 0 ms (not INP),0.000363,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,33710 bytes,No material regression,PASS
https://echobuddha.com/tools/,Tools,desktop,283.4 ms,TBT 0 ms (not INP),0.000363,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,48167 bytes,No material regression,PASS
https://echobuddha.com/privacy-policy/,Privacy,desktop,283.0 ms,TBT 0 ms (not INP),0.000363,FIELD_DATA_NOT_AVAILABLE,NOT_EXPOSED_BY_PROJECT_SUMMARY,NOT_EXPOSED_BY_PROJECT_SUMMARY,34017 bytes,No material regression,PASS
