URL,Phase 1 baseline total,Phase 4 claimed total,Reconciliation unique value /25,Reconciliation intent differentiation /20,Reconciliation completeness /15,Reconciliation original insight /10,Reconciliation source integrity /10,Reconciliation editorial trust /5,Reconciliation internal journey /5,Reconciliation UX /5,Reconciliation AdSense suitability /5,Reconciliation total /100,Claim discrepancy,Independent evidence,Substantive Phase 4 outcome
https://echobuddha.com/learn/buddhism-for-beginners/,71,84,17,17,12,8,9,5,5,4,4,81,84 claimed -> 81 reconciled,"Decision map, tradition boundary, two canonical anchors; still shares site shell.",VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/learn/four-noble-truths/,70,83,18,17,11,8,10,5,5,4,4,82,83 claimed -> 82 reconciled,"Four tasks, worked criticism case, focused practice, direct SN 56.11 source.",VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/learn/eightfold-path/,70,83,18,17,11,8,10,5,5,4,4,82,83 claimed -> 82 reconciled,"Three training areas, integrated-factor example, direct SN 45.8 source.",VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,69,83,18,15,12,8,9,5,5,5,4,81,83 claimed -> 81 reconciled,Diverse living-tradition scope and teaching/practice/community model; subordinate role preserved.,VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,69,83,18,15,12,8,9,5,5,5,5,82,83 claimed -> 82 reconciled,"Intention, mixed motives, responsibility without shame, direct AN 6.63 support.",VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,65,79,16,14,12,8,9,5,5,5,4,78,79 claimed -> 78 reconciled,"Three scales, grief-safe limitation, traditional/editorial boundary.",VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/learn/buddhist-dictionary/metta/,62,76,16,14,10,7,9,5,5,5,4,75,76 claimed -> 75 reconciled,"Language definition, related terms, practice boundary, direct Snp 1.8 support.",VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/meditation/breathing-meditation/,58,72,14,13,13,8,9,5,4,5,4,75,72 claimed -> 75 reconciled,"Named breath anchor, five-minute sequence, troubleshooting, adaptation and stop conditions.",VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/meditation/loving-kindness-meditation/,58,72,14,13,12,8,9,5,4,5,4,74,72 claimed -> 74 reconciled,"Recipient sequence, honest phrases, goodwill/boundary distinction, safety limits.",VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/meditation/walking-meditation/,58,72,14,13,12,7,9,5,4,5,4,73,72 claimed -> 73 reconciled,"Safe path, foot anchor, turning and mobility adaptations, direct walking sources.",VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/meditation/when-meditation-feels-hard/,63,77,15,14,13,8,9,5,4,5,5,78,77 claimed -> 78 reconciled,"Difficulty/distress triage, matched adaptations, grounding exit, stop/support boundary.",VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/articles/right-speech-buddhism/,79,90,19,17,15,9,9,5,5,5,4,88,90 claimed -> 88 reconciled,"Four abstentions, editorial filters, repair example, source and owner boundaries.",VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/articles/buddhist-approach-to-anger/,78,90,19,16,15,9,9,5,5,5,5,88,90 claimed -> 88 reconciled,"Signal/story/urge/aim model, response sequence, accountability and crisis boundary.",VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,64,79,16,15,12,8,10,5,4,4,4,78,79 claimed -> 78 reconciled,Source-specific four-task reading with translation/paraphrase boundary.,VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,63,78,16,15,12,7,10,5,4,4,4,77,78 claimed -> 77 reconciled,Source-specific definition emphasis and integrated-factor example.,VALIDATED_MATERIAL_IMPROVEMENT
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,61,76,16,15,11,7,10,5,4,4,3,75,76 claimed -> 75 reconciled,"Snp 1.8 context, ethical preconditions, translation-use boundary.",VALIDATED_MATERIAL_IMPROVEMENT
