URL,Page family,Primary search intent,Primary topic owner,Total /100,Primary recommendation,Priority,Confidence,Evidence,Human review required,Notes
https://echobuddha.com/about/,trust/policy,Unclustered / page-specific,https://echobuddha.com/about/,72,HUMAN REVIEW,OWNER / EXPERT REVIEW,Medium,Built 2026-08-11T02:17:46.273Z; 304 words; 5 content headings; authored route; nearest /how-echo-buddha-creates-content/ combined overlap 18.6%; external source links 0,Yes,Recommendation only; no remediation performed.
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,article,Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,77,IMPROVE,P3,Medium,Built 2026-08-11T02:17:46.273Z; 1171 words; 26 content headings; authored route; nearest /articles/creating-a-peaceful-corner-at-home/ combined overlap 41.9%; external source links 0,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,Buddhism for beginners,https://echobuddha.com/learn/buddhism-for-beginners/,79,CONSOLIDATE,P1,Medium,Built 2026-08-11T02:17:46.273Z; 1426 words; 28 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 39.6%; external source links 2,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/buddhist-approach-to-anger/,article,Anger,https://echobuddha.com/articles/buddhist-approach-to-anger/,78,IMPROVE,P3,Medium,Built 2026-08-11T02:17:46.273Z; 1258 words; 28 content headings; authored route; nearest /articles/compassion-as-a-daily-discipline/ combined overlap 39.7%; external source links 1,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/buddhist-gratitude-practice/,article,Attachment and letting go,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,82,KEEP,P3,Medium,Built 2026-08-11T02:17:46.273Z; 1364 words; 21 content headings; authored route; nearest /articles/how-to-practice-non-attachment/ combined overlap 32.8%; external source links 2,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,article,Forgiveness,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,81,KEEP,P3,Medium,Built 2026-08-11T02:17:46.273Z; 1367 words; 27 content headings; authored route; nearest /articles/non-attachment-in-relationships/ combined overlap 34.3%; external source links 1,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,article,Impermanence,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,79,IMPROVE,P3,Medium,Built 2026-08-11T02:17:46.273Z; 1267 words; 28 content headings; authored route; nearest /articles/impermanence-in-buddhism-letting-go/ combined overlap 43.9%; external source links 1,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,article,Anxiety-related meditation,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,78,HUMAN REVIEW,OWNER / EXPERT REVIEW,Medium,Built 2026-08-11T02:17:46.273Z; 1366 words; 26 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 36.0%; external source links 0,Yes,Recommendation only; no remediation performed.
https://echobuddha.com/articles/category/buddhist-wisdom/,article category,Unclustered / page-specific,https://echobuddha.com/articles/category/buddhist-wisdom/,72,IMPROVE,P2,Medium,Built 2026-08-11T02:17:46.273Z; 685 words; 23 content headings; authored route; nearest /articles/category/practice/ combined overlap 19.7%; external source links 0,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/category/meditation/,article category,Meditation,https://echobuddha.com/meditation/,71,IMPROVE,P2,Medium,Built 2026-08-11T02:17:46.273Z; 354 words; 12 content headings; authored route; nearest /quotes/meditation/ combined overlap 25.1%; external source links 0,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/category/mindfulness/,article category,Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,69,IMPROVE,P2,Medium,Built 2026-08-11T02:17:46.273Z; 253 words; 8 content headings; authored route; nearest /quotes/mindfulness/ combined overlap 31.0%; external source links 0,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/category/practice/,article category,Unclustered / page-specific,https://echobuddha.com/articles/category/practice/,69,IMPROVE,P2,Medium,Built 2026-08-11T02:17:46.273Z; 317 words; 10 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 20.4%; external source links 0,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/category/reflection/,article category,Unclustered / page-specific,https://echobuddha.com/articles/category/reflection/,68,IMPROVE,P2,Medium,Built 2026-08-11T02:17:46.273Z; 342 words; 12 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 19.7%; external source links 0,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,article,Compassion,https://echobuddha.com/learn/buddhist-dictionary/compassion/,79,IMPROVE,P3,Medium,Built 2026-08-11T02:17:46.273Z; 1220 words; 28 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 40.4%; external source links 1,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,article,Compassion,https://echobuddha.com/learn/buddhist-dictionary/compassion/,77,IMPROVE,P3,Medium,Built 2026-08-11T02:17:46.273Z; 1195 words; 26 content headings; authored route; nearest /articles/compassion-with-boundaries/ combined overlap 42.0%; external source links 1,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/compassion-with-boundaries/,article,Compassion,https://echobuddha.com/learn/buddhist-dictionary/compassion/,76,IMPROVE,P3,Medium,Built 2026-08-11T02:17:46.273Z; 735 words; 20 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 42.0%; external source links 2,No,Recommendation only; no remediation performed.
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,article,Meditation,https://echobuddha.com/meditation/,77,IMPROVE,P3,Medium,Built 2026-08-11T02:17:46.273Z; 1154 words; 26 content headings; authored route; nearest /articles/beginning-a-daily-mindfulness-practice/ combined overlap 41.9%; external source links 0,No,Recommendation only; no remediation performed.
