category,URL,protection tier,visible queries,quote count,category purpose,overlap categories,decision,consolidation target if any,indexability,quality action
awareness,https://echobuddha.com/quotes/awareness/,SEO_P1_HIGH,awareness buddhism | buddha on awareness,16,Recognize mind/body patterns before reaction,mindfulness,RETAIN_INDEXABLE_CURATED_RESOURCE,NONE,"index, follow",PRESERVE_URL_AND_INTENT; ADD_EDITORIAL_STARTERS_PRACTICE_PATH_AND_FURTHER_READING
compassion,https://echobuddha.com/quotes/compassion/,SEO_P1_HIGH,buddha compassion quotes | buddha on compassion | buddha on compassion quotes | buddha quotes compassion | buddha quotes on compassion | buddhism compassion quotes | buddhist quotes on compassion | compassion buddha quotes | compassion quotes buddha,16,Care that reduces harm while preserving truthful boundaries,patience | wisdom,RETAIN_INDEXABLE_CURATED_RESOURCE,NONE,"index, follow",PRESERVE_URL_AND_INTENT; ADD_EDITORIAL_STARTERS_PRACTICE_PATH_AND_FURTHER_READING
impermanence,https://echobuddha.com/quotes/impermanence/,SEO_P2_EMERGING,NO_VISIBLE_QUERY_ROW,12,Meet observable change with gratitude and release,letting-go,RETAIN_INDEXABLE_CURATED_RESOURCE,NONE,"index, follow",PRESERVE_URL_AND_INTENT; ADD_EDITORIAL_STARTERS_PRACTICE_PATH_AND_FURTHER_READING
letting-go,https://echobuddha.com/quotes/letting-go/,SEO_P0_CRITICAL,buddhism letting go quotes | buddha letting go quotes | buddha quote about letting go | buddha quote on letting go | buddha quotes about letting go | buddha quotes letting go | buddha quotes on letting go | buddha sayings about letting go | buddhism on letting go | buddhism quotes on letting go | buddhist quotes about letting go | buddhist quotes on letting go | buddhist saying about letting go | buddhist sayings about letting go | let go quotes buddha | let it go buddha quotes | letting go buddha detachment quotes | letting go buddha quotes | letting go quotes buddha | meer | quotes from buddha about letting go | zen quotes on letting go,16,Separate care and wise effort from clinging and control,impermanence,RETAIN_INDEXABLE_CURATED_RESOURCE,NONE,"index, follow",PRESERVE_URL_AND_INTENT; ADD_EDITORIAL_STARTERS_PRACTICE_PATH_AND_FURTHER_READING
meditation,https://echobuddha.com/quotes/meditation/,SEO_P1_HIGH,quotes about meditation buddha | quotes on meditation by buddha,14,"Support sitting, returning, posture, and distraction",practice | mindfulness,RETAIN_INDEXABLE_CURATED_RESOURCE,NONE,"index, follow",PRESERVE_URL_AND_INTENT; ADD_EDITORIAL_STARTERS_PRACTICE_PATH_AND_FURTHER_READING
mindfulness,https://echobuddha.com/quotes/mindfulness/,SEO_P1_HIGH,buddha mindfulness quotes | mindfulness buddha quotes | mindfulness quotes buddha,17,Direct attention to present experience and ordinary tasks,awareness | meditation,RETAIN_INDEXABLE_CURATED_RESOURCE,NONE,"index, follow",PRESERVE_URL_AND_INTENT; ADD_EDITORIAL_STARTERS_PRACTICE_PATH_AND_FURTHER_READING
patience,https://echobuddha.com/quotes/patience/,SEO_P1_HIGH,buddha on patience | buddha on patience quotes | buddha patience | buddha patience quote | buddha patience quotes | buddha quotes about patience | buddha quotes on patience | buddha quotes patience | buddhism and patience | buddhism patience | buddhist patience | buddhist quotes about patience | buddhist quotes on patience | patience buddha | patience buddha quotes | patience buddhism | patience has its limits buddha | patience has limits buddha | patience in buddhism | patience quotes buddha | quotes on patience by buddha,13,Create space before reactive speech and pressure,compassion | awareness,RETAIN_INDEXABLE_CURATED_RESOURCE,NONE,"index, follow",PRESERVE_URL_AND_INTENT; ADD_EDITORIAL_STARTERS_PRACTICE_PATH_AND_FURTHER_READING
practice,https://echobuddha.com/quotes/practice/,SEO_P1_HIGH,NO_VISIBLE_QUERY_ROW,15,Turn teachings into repeatable daily choices,meditation,RETAIN_INDEXABLE_CURATED_RESOURCE,NONE,"index, follow",PRESERVE_URL_AND_INTENT; ADD_EDITORIAL_STARTERS_PRACTICE_PATH_AND_FURTHER_READING
renewal,https://echobuddha.com/quotes/renewal/,SEO_P2_EMERGING,NO_VISIBLE_QUERY_ROW,15,"Repair, begin again, and move without shame denial",letting-go,RETAIN_INDEXABLE_CURATED_RESOURCE,NONE,"index, follow",PRESERVE_URL_AND_INTENT; ADD_EDITORIAL_STARTERS_PRACTICE_PATH_AND_FURTHER_READING
wisdom,https://echobuddha.com/quotes/wisdom/,SEO_P2_EMERGING,NO_VISIBLE_QUERY_ROW,19,"See causes, consequences, suffering, and skillful response",practice | compassion,RETAIN_INDEXABLE_CURATED_RESOURCE,NONE,"index, follow",PRESERVE_URL_AND_INTENT; ADD_EDITORIAL_STARTERS_PRACTICE_PATH_AND_FURTHER_READING
